ASIN,Product_Name,Brand,Category,Est_Monthly_Revenue,Est_Monthly_Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date_First_Available,Buy_Box_Owner,Rating,Dimensions,Product_Tier,Weight
"B086V3DFWQ" ,"Cricut Maker  Blue" ,"Cricut" ,"Arts, Crafts & Sewing" ,"$3,342,402.00" ,"9,058" ,"$369.00" ,"$72.46" ,"$296.54" ,"215" ,"10438" ,"5" ,"16" ,"08/21/2017" ,"EG`s store" ,"4.8" ,"11.02" x 11.26" x 26.46"" ,"Oversize (Small)" ,"24.2994 lbs"
"B08R2W1XQP" ,"Nicapa Standard Grip Cutting Mat for Cricut Explore Air 2/Maker(12x12 inch 60 Mats) Standard Adhesive Sticky Green Quilting Cricket Replacement Cut Mats" ,"NICAPA" ,"Arts, Crafts & Sewing" ,"$2,258,887.05" ,"11,295" ,"$199.99" ,"$43.47" ,"$156.52" ,"75" ,"18409" ,"6" ,"1" ,"08/29/2019" ,"Nicapa" ,"4.7" ,"3.31" x 6.97" x 19.33"" ,"Oversize (Small)" ,"14.7092 lbs"
"B084WNHBPW" ,"Epoxy Resin Kit - 136 oz /4000 ml Crystal Clear Epoxy Resin for Art Coating Casting Jewelery Making  River Table  Countertop  Cheeseboard  Tumbler - Food Safe - Craft Resin 1 Gallon Pro Kit" ,"Craft Resin" ,"Arts, Crafts & Sewing" ,"$948,034.77" ,"7,023" ,"$134.99" ,"$31.94" ,"$103.05" ,"86" ,"4801" ,"6" ,"1" ,"01/12/2020" ,"Craft.Resin" ,"4.5" ,"6.46" x 7.40" x 9.21"" ,"Standard (Large)" ,"11.0231 lbs"
"B08KTKV2MV" ,"Cricut Explore Air 2Blue Machine Bundle - Beginner DigitalGuide  Tool Kit  Vinyl  Designs" ,"Cricut" ,"Arts, Crafts & Sewing" ,"$907,650.72" ,"2,928" ,"$309.99" ,"$61.26" ,"$248.73" ,"791" ,"672" ,"4" ,"2" ,"09/20/2020" ,"craftecorner" ,"4.8" ,"10.00" x 10.40" x 24.80"" ,"Oversize (Small)" ,"18.1 lbs"
"B08TT83213" ,"ORTUR Laser Master 2  Laser Engraver CNC  Laser Engraving Cutting Machine  DIY Laser Marking for Metal with 32-bit Motherboard LaserGRBL(LightBurn)  400x430mm Large Engraving Area (15w)" ,"ORTUR" ,"Arts, Crafts & Sewing" ,"$755,608.71" ,"2,229" ,"$338.99" ,"$61.07" ,"$277.92" ,"1,273" ,"533" ,"7" ,"1" ,"08/11/2020" ,"Ortur" ,"4.2" ,"22.83" x 7.87" x 4.33"" ,"Oversize (Small)" ,"6.17 lbs"
"B01FJP552I" ,"Golden Artist Acrylic  32 Ounce jar  Cadmium Red Medium (1100-7)" ,"Golden" ,"Arts, Crafts & Sewing" ,"$422,710.75" ,"3,137" ,"$134.75" ,"$28.77" ,"$105.98" ,"570" ,"1415" ,"3" ,"6" ,"03/30/2010" ,"BestSource OfficeSupplies" ,"4.8" ,"4.25" x 4.76" x 4.84"" ,"Standard (Large)" ,"2.7756 lbs"
"B089BV666J" ,"EcoPoxy FlowCast 12L Kit Clear Casting Epoxy Resin for Wood Working  Tables  Counters" ,"EcoPoxy" ,"Arts, Crafts & Sewing" ,"$382,368.36" ,"1,221" ,"$255.56" ,"$66.57" ,"$188.99" ,"2,625" ,"87.5" ,"5" ,"10" ,"12/02/2019" ,"Supermassive Corporation" ,"4.65" ,"7.96" x 13.20" x 14.22"" ,"Oversize (Small)" ,"30.8405 lbs"
"B07YDY769K" ,"Silhouette White Cameo 4 Starter Bundle with 38 Oracal Vinyl Sheets  T-Shirt Vinyl  Transfer Paper  Class  Guides and 24 Sketch Pens" ,"Silhouette" ,"Arts, Crafts & Sewing" ,"$361,409.37" ,"1,063" ,"$339.99" ,"$66.04" ,"$273.95" ,"2,814" ,"1422" ,"5" ,"3" ,"09/24/2019" ,"Swing Design" ,"4.7" ,"9.25" x 11.80" x 25.20"" ,"Oversize (Small)" ,"18.8495 lbs"
"B0043H9FMU" ,"Fancierstudio Power Heat press Digital Heat Press 15 x 15 Sublimation Heat Press Rhinestone Heat Press T-Shirt Heat Press 15x15 B/BLK" ,"Fancierstudio" ,"Arts, Crafts & Sewing" ,"$317,924.86" ,"1,514" ,"$209.99" ,"$58.64" ,"$151.35" ,"1,176" ,"5258" ,"6" ,"1" ,"09/17/2010" ,"Fancierstudio" ,"4.7" ,"14.50" x 18.00" x 26.75"" ,"Oversize (Small)" ,"50.6997 lbs"
"B0773Y1TNX" ,"PowerPress Industrial-Quality Digital Sublimation Heat Press Machine for T Shirt  15x15 Inch  Black" ,"PowerPress" ,"Arts, Crafts & Sewing" ,"$311,835.15" ,"1,485" ,"$209.99" ,"$60.28" ,"$149.71" ,"2,578" ,"2225" ,"6" ,"3" ,"11/13/2009" ,"SC Outlets" ,"4.5" ,"26.75" x 17.50" x 14.50"" ,"Oversize (Small)" ,"55 lbs"
