ASIN,Product_Name,Brand,Category,Est_Monthly_Revenue,Est_Monthly_Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date_First_Available,Buy_Box_Owner,Rating,Dimensions,Product_Tier,Weight
"B01LDRFI9G" ,"VViViD XPO Black Carbon Fiber Car Wrap Vinyl Roll Featuring Air Release Technology (100ft x 5ft)" ,"VViViD" ,"Automotive" ,"$2,021,398.00" ,"4,502" ,"$344.50" ,"$77.91" ,"$266.59" ,"250" ,"7398" ,"6" ,"1" ,"08/31/2016" ,"VViViD Vinyl" ,"4.4" ,"61.50" x 8.11" x 6.18"" ,"Oversize (Medium)" ,"33.45 lbs"
"B00YD4IRRM" ,"ARB (CKMTP12) 12V Twin Motor High Performance Portable Air Compressor" ,"ARB" ,"Automotive" ,"$908,889.00" ,"1,011" ,"$559.00" ,"$129.22" ,"$429.78" ,"3,506" ,"1057" ,"3" ,"28" ,"08/31/2004" ,"SDHQ MOTORSPORTS" ,"4.7" ,"19.50" x 19.10" x 7.50"" ,"Oversize (Small)" ,"35.41 lbs"
"B08VG8RWR9" ,"Valvoline SynPower SAE 75W-140 Full Synthetic Gear Oil 5 GA Pail" ,"Valvoline" ,"Automotive" ,"$842,654.12" ,"3,014" ,"$154.49" ,"$56.34" ,"$98.15" ,"388" ,"2141.3333333333335" ,"3" ,"4" ,"11/05/2009" ,"Valvoline" ,"4.8" ,"14.90" x 11.20" x 10.50"" ,"Oversize (Small)" ,"39.25 lbs"
"B01LWLR5LR" ,"VViViD Black High Gloss Realistic Paint-Like Microfinish Vinyl Wrap Roll XPO Air Release Technology (50ft x 5ft w/Toolkit)" ,"VViViD" ,"Automotive" ,"$716,010.00" ,"2,469" ,"$290.00" ,"$48.00" ,"$242.00" ,"709" ,"2660" ,"4" ,"1" ,"09/19/2016" ,"VViViD Vinyl" ,"4.2" ,"60.00" x 3.50" x 3.50"" ,"Oversize (Small)" ,"14 lbs"
"B08M1LD7YK" ,"Valvoline General Purpose Amber Grease 35 LB Pail" ,"Valvoline" ,"Automotive" ,"$620,226.09" ,"4,191" ,"$147.99" ,"$39.51" ,"$108.48" ,"241" ,"8030.666666666667" ,"3" ,"3" ,"10/05/2009" ,"Valvoline" ,"4.7" ,"15.00" x 12.25" x 12.25"" ,"Oversize (Small)" ,"36.5 lbs"
"B01IIVDH9S" ,"VViViD Black Matte 60 Inch x 50ft Car Wrap Vinyl Roll for Full Car Wraps" ,"VViViD" ,"Automotive" ,"$573,880.87" ,"1,913" ,"$299.99" ,"$52.52" ,"$247.47" ,"953" ,"2318" ,"4" ,"1" ,"06/23/2014" ,"VViViD Vinyl" ,"4.4" ,"60.50" x 3.75" x 3.75"" ,"Oversize (Medium)" ,"14.2 lbs"
"B08DY15F85" ,"SMETA Gas/Electric Chest Freezer Lockable Absorption Propane Deep Freezer  7.1 Cu.Ft  White" ,"SMETA" ,"Automotive" ,"$538,615.00" ,"385" ,"$1,399.00" ,"$374.36" ,"$1,024.64" ,"N.A." ,"9" ,"6" ,"1" ,"05/23/2017" ,"SMETA Electric Appliances Co.,Ltd" ,"4.8" ,"39.60" x 35.80" x 27.60"" ,"Special" ,"165 lbs"
"B07PMDVG9X" ,"Krieger 4000 Watts Power Inverter 12V to 110V  Modified Sine Wave Car Inverter  Dual 110 Volt AC Outlets  Hardwire Kit  DC to AC Converter with Installation Kit - MET Approved to UL and CSA Standards" ,"K KRIËGER" ,"Automotive" ,"$507,485.50" ,"1,450" ,"$299.97" ,"$55.14" ,"$244.83" ,"1,240" ,"2810" ,"6" ,"2" ,"01/02/2019" ,"TECHBUY" ,"4.5" ,"7.50" x 11.50" x 17.75"" ,"Standard (Large)" ,"14.8503 lbs"
"B07C4BJ3W8" ,"FIXD OBD2 Professional Bluetooth Scan Tool & Code Reader for iPhone and Android (3)" ,"FIXD" ,"Automotive" ,"$419,550.03" ,"2,997" ,"$139.99" ,"$24.45" ,"$115.54" ,"574" ,"423" ,"4" ,"1" ,"04/10/2018" ,"FIXD" ,"4.1" ,"2.56" x 2.56" x 2.76"" ,"Standard (Large)" ,"0.39 lbs"
"B0829H2LKF" ,"OASIS AUTO Leather Car Seat Covers  Faux Leatherette Automotive Vehicle Cushion Cover for Cars SUV Pick-up Truck Universal Fit Set for Auto Interior Accessories (Blue  OS-009 Full Set)" ,"OASIS AUTO" ,"Automotive" ,"$405,426.15" ,"2,385" ,"$169.99" ,"$33.60" ,"$136.39" ,"863" ,"1149" ,"7" ,"1" ,"12/02/2019" ,"Oasis Auto Group" ,"4.3" ,"7.50" x 21.20" x 25.20"" ,"Oversize (Small)" ,"13.9994 lbs"
